"","Taxa","GenePair","sum","total_n"
"461","A_New_York_1028_2006","NA-PA",6,3
"462","A_New_York_1028_2006","NA-PB2",6,3
"463","A_New_York_13_2003","PA-PB1",6,3
"464","A_New_York_18_2003","PA-PB1",6,3
"465","A_New_York_272_2003","PA-PB1",6,3
"466","A_New_York_30_2003","HA-NA",6,3
"467","A_New_York_30_2003","HA-PA",6,12
"468","A_New_York_30_2003","M-PA",6,12
"469","A_New_York_30_2003","NA-NP",6,3
"470","A_New_York_30_2003","NA-PA",6,3
"471","A_New_York_30_2003","NA-PB1",6,3
"472","A_New_York_30_2003","NA-PB2",6,3
"473","A_New_York_30_2003","NP-PA",6,6
"474","A_New_York_30_2003","NS-PA",6,5
"475","A_New_York_30_2003","PA-PB1",6,6
"476","A_New_York_30_2003","PA-PB2",6,6
"477","A_New_York_33_2004","PA-PB1",6,3
"478","A_New_York_35_2003","PA-PB1",6,3
"479","A_New_York_366_2004","HA-NA",6,3
"480","A_New_York_372_2004","HA-NA",6,3
"481","A_New_York_373_2005","HA-NA",6,3
"482","A_New_York_373_2005","M-NA",6,4
"483","A_New_York_373_2005","NA-PA",6,3
"484","A_New_York_373_2005","NA-PB2",6,4
"485","A_New_York_37_2003","PA-PB1",6,3
"486","A_New_York_4_2003","HA-NA",6,3
"487","A_New_York_4_2003","HA-PA",6,12
"488","A_New_York_4_2003","M-PA",6,9
"489","A_New_York_4_2003","NA-NP",6,3
"490","A_New_York_4_2003","NA-PB1",6,3
"491","A_New_York_4_2003","NA-PB2",6,3
"492","A_New_York_4_2003","NP-PA",6,6
"493","A_New_York_4_2003","NS-PA",6,5
"494","A_New_York_4_2003","PA-PB1",6,6
"495","A_New_York_4_2003","PA-PB2",6,6
"496","A_New_York_54_2003","PA-PB1",6,3
"497","A_New_York_900_2004","HA-NA",6,3
"498","A_Niigata_13F335_2014","NS-PA",6,3
"499","A_Niigata_13F335_2014","NS-PB2",6,3
"500","A_North_Carolina_06_2015","HA-M",6,3
"501","A_North_Carolina_06_2015","HA-NA",6,3
"502","A_North_Carolina_06_2015","HA-PB1",6,3
"503","A_North_Carolina_06_2015","HA-PB2",6,3
"504","A_North_Carolina_06_2015","M-NP",6,5
"505","A_North_Carolina_06_2015","M-NS",6,3
"506","A_North_Carolina_06_2015","M-PA",6,3
"507","A_North_Carolina_06_2015","M-PB1",6,3
"508","A_North_Carolina_06_2015","NA-NP",6,6
"509","A_North_Carolina_06_2015","NA-PA",6,3
"510","A_North_Carolina_06_2015","NA-PB1",6,3
"511","A_North_Carolina_06_2015","NP-PB2",6,6
"512","A_North_Carolina_06_2015","NS-PB1",6,3
"513","A_North_Carolina_06_2015","NS-PB2",6,3
"514","A_North_Carolina_06_2015","PA-PB2",6,3
"515","A_North_Carolina_06_2015","PB1-PB2",6,3
"516","A_North_Carolina_27_2017","HA-M",6,4
"517","A_North_Carolina_27_2017","HA-NP",6,3
"518","A_North_Carolina_27_2017","HA-NS",6,3
"519","A_North_Carolina_27_2017","HA-PA",6,10
"520","A_North_Carolina_27_2017","HA-PB1",6,5
"521","A_North_Carolina_27_2017","HA-PB2",6,5
"522","A_North_Carolina_27_2017","M-NA",6,4
"523","A_North_Carolina_27_2017","M-PA",6,3
"524","A_North_Carolina_27_2017","M-PB2",6,3
"525","A_North_Carolina_27_2017","NA-NS",6,3
"526","A_North_Carolina_27_2017","NA-PA",6,5
"527","A_North_Carolina_27_2017","NA-PB1",6,9
"528","A_North_Carolina_27_2017","NA-PB2",6,3
"529","A_Oregon_14_2017","HA-NP",6,3
"530","A_Oregon_14_2017","HA-NS",6,3
"531","A_Oregon_14_2017","HA-PA",6,9
"532","A_Oregon_14_2017","HA-PB1",6,6
"533","A_Oregon_14_2017","HA-PB2",6,4
"534","A_Oregon_14_2017","NA-NS",6,3
"535","A_Oregon_14_2017","NA-PA",6,6
"536","A_Oregon_14_2017","NA-PB1",6,3
"537","A_Oregon_14_2017","NA-PB2",6,6
"538","A_Pennsylvania_49_2014","HA-M",6,3
"539","A_Pennsylvania_49_2014","HA-NA",6,6
"540","A_Pennsylvania_49_2014","HA-NP",6,3
"541","A_Pennsylvania_49_2014","HA-NS",6,6
"542","A_Pennsylvania_49_2014","HA-PA",6,3
"543","A_Pennsylvania_49_2014","HA-PB1",6,4
"544","A_Pennsylvania_49_2014","HA-PB2",6,3
"545","A_Pennsylvania_49_2014","M-PB2",6,5
"546","A_Pennsylvania_49_2014","NA-PB2",6,8
"547","A_Pennsylvania_49_2014","NP-PB2",6,9
"548","A_Pennsylvania_49_2014","NS-PB2",6,12
"549","A_Pennsylvania_49_2014","PA-PB2",6,9
"550","A_Pennsylvania_49_2014","PB1-PB2",6,12
"551","A_Qinghai_178_2010","M-PA",6,3
"552","A_Qinghai_178_2010","NP-PA",6,3
"553","A_Qinghai_178_2010","PA-PB2",6,3
"554","A_Scotland_78_2003","HA-M",6,3
"555","A_Scotland_78_2003","HA-PB1",6,3
"556","A_Scotland_78_2003","M-PA",6,4
"557","A_Scotland_78_2003","NA-NP",6,3
"558","A_Scotland_78_2003","NP-PA",6,3
"559","A_Scotland_78_2003","NP-PB2",6,3
"560","A_Scotland_78_2003","PA-PB1",6,3
"561","A_Scotland_79_2003","HA-NA",6,11
"562","A_Scotland_79_2003","HA-NS",6,3
"563","A_Scotland_79_2003","HA-PA",6,6
"564","A_Scotland_79_2003","HA-PB2",6,3
"565","A_Scotland_79_2003","M-NA",6,7
"566","A_Scotland_79_2003","M-PA",6,3
"567","A_Scotland_79_2003","NA-NP",6,9
"568","A_Scotland_79_2003","NA-NS",6,3
"569","A_Scotland_79_2003","NA-PB1",6,9
"570","A_Scotland_79_2003","NA-PB2",6,9
"571","A_Scotland_79_2003","NP-PA",6,3
"572","A_Scotland_79_2003","PA-PB1",6,3
"573","A_Scotland_79_2003","PA-PB2",6,3
"574","A_Seoul_1595_2015","HA-NP",6,6
"575","A_Seoul_1595_2015","HA-PA",6,4
"576","A_Seoul_1595_2015","HA-PB1",6,8
"577","A_Seoul_1595_2015","HA-PB2",6,8
"578","A_Seoul_1595_2015","NA-NP",6,9
"579","A_Seoul_1595_2015","NA-NS",6,6
"580","A_Seoul_1595_2015","NA-PA",6,5
"581","A_Seoul_1595_2015","NA-PB1",6,9
"582","A_Seoul_1595_2015","NA-PB2",6,13
"583","A_Seoul_1595_2015","NP-PA",6,6
"584","A_Seoul_1595_2015","NP-PB1",6,3
"585","A_Seoul_1595_2015","NP-PB2",6,6
"586","A_Seoul_1595_2015","PA-PB1",6,3
"587","A_Seoul_1595_2015","PA-PB2",6,9
"588","A_Shanghai_10_2017","HA-NA",6,3
"589","A_Shanghai_10_2017","HA-NS",6,6
"590","A_Shanghai_10_2017","HA-PA",6,3
"591","A_Shanghai_10_2017","HA-PB1",6,3
"592","A_Shanghai_10_2017","M-NS",6,5
"593","A_Shanghai_10_2017","NA-NS",6,8
"594","A_Shanghai_10_2017","NA-PB2",6,3
"595","A_Shanghai_10_2017","NP-NS",6,7
"596","A_Shanghai_10_2017","NS-PA",6,8
"597","A_Shanghai_10_2017","NS-PB1",6,6
"598","A_Shanghai_10_2017","NS-PB2",6,8
"599","A_Shanghai_10_2017","PB1-PB2",6,3
"600","A_Shanghai_11_2017","NA-NS",6,3
"601","A_Shanghai_11_2017","NP-NS",6,3
"602","A_Shanghai_11_2017","NS-PA",6,6
"603","A_Shanghai_11_2017","NS-PB1",6,6
"604","A_Shanghai_11_2017","NS-PB2",6,6
"605","A_Shanghai_12_2017","HA-PB2",6,3
"606","A_Shanghai_12_2017","NA-NS",6,3
"607","A_Shanghai_12_2017","NA-PB2",6,3
"608","A_Shanghai_12_2017","NP-NS",6,3
"609","A_Shanghai_12_2017","NS-PA",6,3
"610","A_Shanghai_12_2017","NS-PB1",6,3
"611","A_Shanghai_12_2017","NS-PB2",6,4
"612","A_Shanghai_15_2017","HA-NS",6,3
"613","A_Shanghai_15_2017","M-PB1",6,12
"614","A_Shanghai_15_2017","M-PB2",6,7
"615","A_Shanghai_15_2017","NS-PB1",6,3
"616","A_Shanghai_15_2017","NS-PB2",6,3
"617","A_Shanghai_16_2017","M-PB1",6,9
"618","A_Shanghai_16_2017","M-PB2",6,8
"619","A_Shanghai_16_2017","NS-PB1",6,6
"620","A_Shanghai_16_2017","NS-PB2",6,3
"621","A_Shanghai_16_2017","PB1-PB2",6,3
"622","A_Shanghai_17_2017","HA-PB2",6,3
"623","A_Shanghai_17_2017","M-NA",6,5
"624","A_Shanghai_17_2017","M-NP",6,3
"625","A_Shanghai_17_2017","M-PA",6,7
"626","A_Shanghai_17_2017","M-PB1",6,8
"627","A_Shanghai_17_2017","M-PB2",6,6
"628","A_Shanghai_17_2017","NA-PB2",6,3
"629","A_Shanghai_17_2017","NS-PB2",6,4
"630","A_Shanghai_18_2017","HA-NP",6,5
"631","A_Shanghai_18_2017","NA-NP",6,7
"632","A_Shanghai_18_2017","NP-PA",6,8
"633","A_Shanghai_18_2017","NP-PB1",6,7
"634","A_Shanghai_18_2017","NP-PB2",6,10
"635","A_Shanghai_19_2017","HA-NP",6,8
"636","A_Shanghai_19_2017","NA-NP",6,13
"637","A_Shanghai_19_2017","NP-PA",6,13
"638","A_Shanghai_19_2017","NP-PB1",6,15
"639","A_Shanghai_19_2017","NP-PB2",6,16
"640","A_Shanghai_19_2017","NS-PB1",6,6
"641","A_Shanghai_19_2017","NS-PB2",6,3
"642","A_Shanghai_19_2017","PB1-PB2",6,3
"643","A_Shanghai_1_2016","NS-PB1",6,3
"644","A_Shanghai_20_2017","NS-PA",6,3
"645","A_Shanghai_21_2017","PB1-PB2",6,3
"646","A_Shanghai_29_2017","HA-PA",6,3
"647","A_Shanghai_29_2017","HA-PB1",6,6
"648","A_Shanghai_29_2017","M-PA",6,5
"649","A_Shanghai_29_2017","M-PB1",6,6
"650","A_Shanghai_29_2017","M-PB2",6,3
"651","A_Shanghai_29_2017","NA-NS",6,6
"652","A_Shanghai_29_2017","NP-PB1",6,7
"653","A_Shanghai_29_2017","NP-PB2",6,3
"654","A_Shanghai_29_2017","NS-PA",6,6
"655","A_Shanghai_29_2017","NS-PB1",6,13
"656","A_Shanghai_29_2017","NS-PB2",6,6
"657","A_Shanghai_29_2017","PA-PB1",6,4
"658","A_Shanghai_29_2017","PA-PB2",6,3
"659","A_Shanghai_30_2017","HA-M",6,3
"660","A_Shanghai_30_2017","HA-NP",6,3
"661","A_Shanghai_30_2017","HA-NS",6,11
"662","A_Shanghai_30_2017","HA-PA",6,4
"663","A_Shanghai_30_2017","M-PA",6,5
"664","A_Shanghai_30_2017","M-PB1",6,9
"665","A_Shanghai_30_2017","M-PB2",6,3
"666","A_Shanghai_30_2017","NA-NS",6,8
"667","A_Shanghai_30_2017","NP-PA",6,3
"668","A_Shanghai_30_2017","NP-PB1",6,3
"669","A_Shanghai_30_2017","NP-PB2",6,5
"670","A_Shanghai_30_2017","NS-PA",6,4
"671","A_Shanghai_30_2017","NS-PB1",6,15
"672","A_Shanghai_30_2017","NS-PB2",6,6
"673","A_Shanghai_30_2017","PA-PB2",6,3
"674","A_Shanghai_30_2017","PB1-PB2",6,3
"675","A_Shanghai_31_2017","HA-NA",6,3
"676","A_Shanghai_31_2017","HA-PA",6,11
"677","A_Shanghai_31_2017","HA-PB1",6,3
"678","A_Shanghai_31_2017","HA-PB2",6,5
"679","A_Shanghai_31_2017","M-PA",6,4
"680","A_Shanghai_31_2017","M-PB1",6,4
"681","A_Shanghai_31_2017","NA-NP",6,10
"682","A_Shanghai_31_2017","NA-NS",6,5
"683","A_Shanghai_31_2017","NA-PA",6,3
"684","A_Shanghai_31_2017","NP-PA",6,10
"685","A_Shanghai_31_2017","NP-PB1",6,9
"686","A_Shanghai_31_2017","NP-PB2",6,14
"687","A_Shanghai_31_2017","NS-PA",6,4
"688","A_Shanghai_31_2017","NS-PB1",6,4
"689","A_Shanghai_31_2017","NS-PB2",6,7
"690","A_Shanghai_31_2017","PA-PB1",6,3
"691","A_Shanghai_31_2017","PB1-PB2",6,3
"692","A_Shanghai_32_2017","HA-NA",6,6
"693","A_Shanghai_32_2017","HA-NP",6,5
"694","A_Shanghai_32_2017","HA-NS",6,7
"695","A_Shanghai_32_2017","HA-PA",6,3
"696","A_Shanghai_32_2017","HA-PB2",6,3
"697","A_Shanghai_32_2017","NA-NP",6,6
"698","A_Shanghai_32_2017","NA-NS",6,9
"699","A_Shanghai_32_2017","NA-PA",6,4
"700","A_Shanghai_32_2017","NS-PA",6,6
"701","A_Shanghai_32_2017","NS-PB1",6,12
"702","A_Shanghai_32_2017","NS-PB2",6,7
"703","A_Shanghai_32_2017","PA-PB1",6,3
"704","A_Shanghai_32_2017","PA-PB2",6,3
"705","A_Shanghai_33_2017","HA-NS",6,6
"706","A_Shanghai_33_2017","NA-NS",6,7
"707","A_Shanghai_33_2017","NA-PB2",6,3
"708","A_Shanghai_33_2017","NP-PA",6,3
"709","A_Shanghai_33_2017","NP-PB2",6,3
"710","A_Shanghai_33_2017","NS-PA",6,7
"711","A_Shanghai_33_2017","NS-PB1",6,14
"712","A_Shanghai_33_2017","NS-PB2",6,11
"713","A_Shanghai_33_2017","PA-PB2",6,6
"714","A_Shanghai_35_2017","HA-M",6,4
"715","A_Shanghai_35_2017","HA-NA",6,4
"716","A_Shanghai_35_2017","HA-NP",6,7
"717","A_Shanghai_35_2017","HA-NS",6,13
"718","A_Shanghai_35_2017","HA-PA",6,7
"719","A_Shanghai_35_2017","HA-PB2",6,9
"720","A_Shanghai_35_2017","M-PA",6,5
"721","A_Shanghai_35_2017","M-PB1",6,5
"722","A_Shanghai_35_2017","NA-NP",6,6
"723","A_Shanghai_35_2017","NA-NS",6,9
"724","A_Shanghai_35_2017","NA-PB2",6,11
"725","A_Shanghai_35_2017","NP-PA",6,5
"726","A_Shanghai_35_2017","NP-PB1",6,6
"727","A_Shanghai_35_2017","NP-PB2",6,14
"728","A_Shanghai_35_2017","NS-PA",6,4
"729","A_Shanghai_35_2017","NS-PB1",6,12
"730","A_Shanghai_35_2017","NS-PB2",6,7
"731","A_Shanghai_35_2017","PA-PB2",6,3
"732","A_Shanghai_35_2017","PB1-PB2",6,6
"733","A_Shanghai_36_2017","HA-M",6,3
"734","A_Shanghai_36_2017","HA-NS",6,13
"735","A_Shanghai_36_2017","HA-PA",6,3
"736","A_Shanghai_36_2017","HA-PB2",6,3
"737","A_Shanghai_36_2017","M-NA",6,3
"738","A_Shanghai_36_2017","M-PA",6,3
"739","A_Shanghai_36_2017","M-PB1",6,3
"740","A_Shanghai_36_2017","NA-NS",6,11
"741","A_Shanghai_36_2017","NA-PB2",6,9
"742","A_Shanghai_36_2017","NS-PA",6,6
"743","A_Shanghai_36_2017","NS-PB1",6,15
"744","A_Shanghai_36_2017","NS-PB2",6,9
"745","A_Shanghai_36_2017","PA-PB1",6,4
"746","A_Shanghai_36_2017","PA-PB2",6,3
"747","A_Shanghai_37_2017","NP-PA",6,3
"748","A_Shanghai_37_2017","NP-PB1",6,3
"749","A_Shanghai_37_2017","NP-PB2",6,3
"750","A_Shanghai_37_2017","NS-PB1",6,3
"751","A_Shanghai_37_2017","PA-PB2",6,3
"752","A_Shanghai_37_2017","PB1-PB2",6,3
"753","A_Shanghai_38_2017","HA-M",6,3
"754","A_Shanghai_38_2017","HA-NA",6,4
"755","A_Shanghai_38_2017","HA-NP",6,3
"756","A_Shanghai_38_2017","HA-NS",6,3
"757","A_Shanghai_38_2017","HA-PA",6,4
"758","A_Shanghai_38_2017","M-PA",6,5
"759","A_Shanghai_38_2017","M-PB1",6,6
"760","A_Shanghai_38_2017","M-PB2",6,3
"761","A_Shanghai_38_2017","NA-NP",6,4
"762","A_Shanghai_38_2017","NA-PA",6,4
"763","A_Shanghai_38_2017","NA-PB2",6,3
"764","A_Shanghai_38_2017","NP-PB1",6,7
"765","A_Shanghai_38_2017","NP-PB2",6,5
"766","A_Shanghai_38_2017","NS-PB1",6,3
"767","A_Shanghai_38_2017","PA-PB1",6,4
"768","A_Shanghai_38_2017","PA-PB2",6,3
"769","A_Shanghai_38_2017","PB1-PB2",6,3
"770","A_Shanghai_40_2017","HA-NA",6,3
"771","A_Shanghai_40_2017","HA-NS",6,5
"772","A_Shanghai_40_2017","M-NA",6,3
"773","A_Shanghai_40_2017","M-PA",6,3
"774","A_Shanghai_40_2017","M-PB2",6,4
"775","A_Shanghai_40_2017","NA-NS",6,6
"776","A_Shanghai_40_2017","NA-PB2",6,7
"777","A_Shanghai_40_2017","NP-PB2",6,3
"778","A_Shanghai_40_2017","NS-PA",6,3
"779","A_Shanghai_40_2017","NS-PB1",6,3
"780","A_Shanghai_40_2017","NS-PB2",6,4
"781","A_Shanghai_40_2017","PA-PB1",6,3
"782","A_Shanghai_40_2017","PA-PB2",6,6
"783","A_Shanghai_41_2017","HA-M",6,5
"784","A_Shanghai_41_2017","HA-NP",6,3
"785","A_Shanghai_41_2017","HA-NS",6,3
"786","A_Shanghai_41_2017","HA-PA",6,4
"787","A_Shanghai_41_2017","M-NA",6,3
"788","A_Shanghai_41_2017","M-PA",6,3
"789","A_Shanghai_41_2017","M-PB1",6,5
"790","A_Shanghai_41_2017","NA-PB2",6,3
"791","A_Shanghai_41_2017","NP-PB2",6,5
"792","A_Shanghai_41_2017","NS-PB1",6,3
"793","A_Shanghai_41_2017","PA-PB2",6,3
"794","A_Shanghai_43_2017","M-NP",6,3
"795","A_Shanghai_43_2017","NP-PA",6,5
"796","A_Shanghai_43_2017","NP-PB1",6,6
"797","A_Shanghai_43_2017","NP-PB2",6,3
"798","A_Shanghai_43_2017","NS-PB1",6,3
"799","A_Shanghai_43_2017","NS-PB2",6,3
"800","A_Shanghai_43_2017","PA-PB2",6,3
"801","A_Shanghai_45_2017","HA-NS",6,4
"802","A_Shanghai_45_2017","HA-PB2",6,5
"803","A_Shanghai_45_2017","M-PB1",6,5
"804","A_Shanghai_45_2017","NA-NS",6,4
"805","A_Shanghai_45_2017","NA-PB2",6,5
"806","A_Shanghai_45_2017","NP-NS",6,4
"807","A_Shanghai_45_2017","NP-PA",6,3
"808","A_Shanghai_45_2017","NP-PB2",6,13
"809","A_Shanghai_45_2017","NS-PA",6,4
"810","A_Shanghai_45_2017","NS-PB1",6,3
"811","A_Shanghai_45_2017","NS-PB2",6,10
"812","A_Shanghai_45_2017","PA-PB2",6,3
"813","A_Shanghai_45_2017","PB1-PB2",6,6
"814","A_Shanghai_46_2017","HA-M",6,6
"815","A_Shanghai_46_2017","HA-NA",6,4
"816","A_Shanghai_46_2017","HA-NP",6,3
"817","A_Shanghai_46_2017","HA-NS",6,3
"818","A_Shanghai_46_2017","HA-PA",6,7
"819","A_Shanghai_46_2017","HA-PB2",6,7
"820","A_Shanghai_46_2017","M-NA",6,4
"821","A_Shanghai_46_2017","M-PA",6,3
"822","A_Shanghai_46_2017","M-PB1",6,5
"823","A_Shanghai_46_2017","NA-NP",6,4
"824","A_Shanghai_46_2017","NA-PA",6,4
"825","A_Shanghai_46_2017","NP-PB1",6,3
"826","A_Shanghai_46_2017","NP-PB2",6,5
"827","A_Shanghai_46_2017","NS-PB1",6,3
"828","A_Shanghai_46_2017","NS-PB2",6,3
"829","A_Shanghai_46_2017","PA-PB1",6,3
"830","A_Shanghai_46_2017","PA-PB2",6,3
"831","A_Shanghai_47_2017","NP-PA",6,5
"832","A_Shanghai_47_2017","NP-PB2",6,9
"833","A_Shanghai_47_2017","NS-PB1",6,3
"834","A_Shanghai_47_2017","PA-PB2",6,3
"835","A_Shanghai_49_2017","HA-M",6,3
"836","A_Shanghai_49_2017","HA-NA",6,3
"837","A_Shanghai_49_2017","HA-NS",6,4
"838","A_Shanghai_49_2017","M-NA",6,7
"839","A_Shanghai_49_2017","M-NS",6,5
"840","A_Shanghai_49_2017","M-PA",6,3
"841","A_Shanghai_49_2017","M-PB1",6,6
"842","A_Shanghai_49_2017","M-PB2",6,3
"843","A_Shanghai_49_2017","NA-NP",6,4
"844","A_Shanghai_49_2017","NA-NS",6,5
"845","A_Shanghai_49_2017","NA-PA",6,3
"846","A_Shanghai_49_2017","NP-NS",6,4
"847","A_Shanghai_49_2017","NP-PA",6,3
"848","A_Shanghai_49_2017","NP-PB1",6,3
"849","A_Shanghai_49_2017","NP-PB2",6,5
"850","A_Shanghai_49_2017","NS-PA",6,4
"851","A_Shanghai_49_2017","NS-PB1",6,3
"852","A_Shanghai_49_2017","NS-PB2",6,4
"853","A_Shanghai_49_2017","PA-PB2",6,3
"854","A_Shanghai_50_2017","HA-M",6,5
"855","A_Shanghai_50_2017","HA-NP",6,3
"856","A_Shanghai_50_2017","HA-NS",6,3
"857","A_Shanghai_50_2017","HA-PA",6,4
"858","A_Shanghai_50_2017","HA-PB2",6,8
"859","A_Shanghai_50_2017","M-NA",6,7
"860","A_Shanghai_50_2017","M-PA",6,3
"861","A_Shanghai_50_2017","M-PB1",6,6
"862","A_Shanghai_50_2017","M-PB2",6,3
"863","A_Shanghai_50_2017","NA-PB2",6,7
"864","A_Shanghai_50_2017","NP-PB1",6,3
"865","A_Shanghai_50_2017","NP-PB2",6,3
"866","A_Shanghai_50_2017","NS-PB1",6,3
"867","A_Shanghai_50_2017","PA-PB1",6,3
"868","A_Shanghai_50_2017","PA-PB2",6,6
"869","A_Shanghai_51_2017","HA-M",6,3
"870","A_Shanghai_51_2017","HA-NP",6,3
"871","A_Shanghai_51_2017","HA-NS",6,3
"872","A_Shanghai_51_2017","HA-PA",6,3
"873","A_Shanghai_51_2017","M-NA",6,4
"874","A_Shanghai_51_2017","M-PA",6,4
"875","A_Shanghai_51_2017","M-PB1",6,9
"876","A_Shanghai_51_2017","M-PB2",6,3
"877","A_Shanghai_51_2017","NP-PA",6,5
"878","A_Shanghai_51_2017","NP-PB1",6,7
"879","A_Shanghai_51_2017","NP-PB2",6,6
"880","A_Shanghai_51_2017","NS-PB1",6,3
"881","A_Shanghai_51_2017","PA-PB2",6,3
"882","A_Shanghai_51_2017","PB1-PB2",6,3
"883","A_Shanghai_53_2017","HA-M",6,5
"884","A_Shanghai_53_2017","HA-NP",6,4
"885","A_Shanghai_53_2017","HA-NS",6,5
"886","A_Shanghai_53_2017","HA-PA",6,3
"887","A_Shanghai_53_2017","HA-PB2",6,4
"888","A_Shanghai_53_2017","M-NA",6,3
"889","A_Shanghai_53_2017","M-NS",6,5
"890","A_Shanghai_53_2017","M-PA",6,3
"891","A_Shanghai_53_2017","M-PB1",6,6
"892","A_Shanghai_53_2017","M-PB2",6,3
"893","A_Shanghai_53_2017","NA-NS",6,4
"894","A_Shanghai_53_2017","NP-PB2",6,3
"895","A_Shanghai_53_2017","NS-PA",6,4
"896","A_Shanghai_53_2017","NS-PB1",6,3
"897","A_Shanghai_53_2017","NS-PB2",6,4
"898","A_Shanghai_53_2017","PA-PB2",6,3
"899","A_Shanghai_7_2016","HA-NS",6,3
"900","A_Shanghai_7_2016","NS-PB1",6,3
"901","A_Shanghai_7_2016","NS-PB2",6,5
"902","A_South_Carolina_NHRC0002_2003","PA-PB1",6,3
"903","A_Taipei_0011_2015","NA-NP",6,4
"904","A_Taipei_0011_2015","NA-PB2",6,6
"905","A_Tennessee_F2031A_2011","NA-NS",6,3
"906","A_Texas_136_2016","HA-M",6,5
"907","A_Texas_136_2016","NA-PB1",6,3
"908","A_Texas_136_2016","PB1-PB2",6,6
"909","A_Texas_47_2017","HA-PB1",6,3
"910","A_Texas_47_2017","NA-PA",6,8
"911","A_Texas_47_2017","NA-PB1",6,3
"912","A_Texas_47_2017","NA-PB2",6,3
"913","A_Vermont_08_2017","NS-PB1",6,3
"914","A_Vermont_08_2017","PA-PB1",6,3
"915","A_Washington_55_2016","HA-M",6,5
"916","A_Washington_55_2016","NA-PB1",6,3
"917","A_Washington_55_2016","PB1-PB2",6,6
"918","A_Washington_60_2014","HA-M",6,4
"919","A_Washington_60_2014","HA-NA",6,6
"920","A_Washington_60_2014","HA-PB1",6,3
"921","A_Washington_60_2014","HA-PB2",6,3
"922","A_Washington_60_2014","M-NS",6,6
"923","A_Washington_60_2014","M-PA",6,3
"924","A_Washington_60_2014","M-PB2",6,3
"925","A_Washington_60_2014","NA-NS",6,3
"926","A_Washington_60_2014","NP-PB2",6,4
"927","A_Washington_60_2014","NS-PB1",6,3
"928","A_Washington_60_2014","NS-PB2",6,6
"929","A_Washington_60_2014","PA-PB2",6,3
"930","A_Washington_60_2014","PB1-PB2",6,6
"931","A_Yucatan_844_2003","HA-PB1",6,3
