ID,Strain,GenePair
460,A/New York/1028/2006,M-PB1
461,A/New York/1028/2006,NA-PA
462,A/New York/1028/2006,NA-PB2
463,A/New York/13/2003,PA-PB1
464,A/New York/18/2003,PA-PB1
465,A/New York/272/2003,PA-PB1
466,A/New York/30/2003,HA-NA
467,A/New York/30/2003,HA-PA
468,A/New York/30/2003,M-PA
469,A/New York/30/2003,NA-NP
470,A/New York/30/2003,NA-PA
471,A/New York/30/2003,NA-PB1
472,A/New York/30/2003,NA-PB2
473,A/New York/30/2003,NP-PA
474,A/New York/30/2003,NS-PA
475,A/New York/30/2003,PA-PB1
476,A/New York/30/2003,PA-PB2
477,A/New York/33/2004,PA-PB1
478,A/New York/35/2003,PA-PB1
479,A/New York/366/2004,HA-NA
480,A/New York/372/2004,HA-NA
481,A/New York/373/2005,HA-NA
482,A/New York/373/2005,M-NA
483,A/New York/373/2005,NA-PA
484,A/New York/373/2005,NA-PB2
485,A/New York/37/2003,PA-PB1
486,A/New York/4/2003,HA-NA
487,A/New York/4/2003,HA-PA
488,A/New York/4/2003,M-PA
489,A/New York/4/2003,NA-NP
490,A/New York/4/2003,NA-PB1
491,A/New York/4/2003,NA-PB2
492,A/New York/4/2003,NP-PA
493,A/New York/4/2003,NS-PA
494,A/New York/4/2003,PA-PB1
495,A/New York/4/2003,PA-PB2
496,A/New York/54/2003,PA-PB1
497,A/New York/900/2004,HA-NA
498,A/Niigata/13F335/2014,NS-PA
499,A/Niigata/13F335/2014,NS-PB2
500,A/North Carolina/06/2015,HA-M
501,A/North Carolina/06/2015,HA-NA
502,A/North Carolina/06/2015,HA-PB1
503,A/North Carolina/06/2015,HA-PB2
504,A/North Carolina/06/2015,M-NP
505,A/North Carolina/06/2015,M-NS
506,A/North Carolina/06/2015,M-PA
507,A/North Carolina/06/2015,M-PB1
508,A/North Carolina/06/2015,NA-NP
509,A/North Carolina/06/2015,NA-PA
510,A/North Carolina/06/2015,NA-PB1
511,A/North Carolina/06/2015,NP-PB2
512,A/North Carolina/06/2015,NS-PB1
513,A/North Carolina/06/2015,NS-PB2
514,A/North Carolina/06/2015,PA-PB2
515,A/North Carolina/06/2015,PB1-PB2
516,A/North Carolina/27/2017,HA-M
517,A/North Carolina/27/2017,HA-NP
518,A/North Carolina/27/2017,HA-NS
519,A/North Carolina/27/2017,HA-PA
520,A/North Carolina/27/2017,HA-PB1
521,A/North Carolina/27/2017,HA-PB2
522,A/North Carolina/27/2017,M-NA
523,A/North Carolina/27/2017,M-PA
524,A/North Carolina/27/2017,M-PB2
525,A/North Carolina/27/2017,NA-NS
526,A/North Carolina/27/2017,NA-PA
527,A/North Carolina/27/2017,NA-PB1
528,A/North Carolina/27/2017,NA-PB2
529,A/Oregon/14/2017,HA-NP
530,A/Oregon/14/2017,HA-NS
531,A/Oregon/14/2017,HA-PA
532,A/Oregon/14/2017,HA-PB1
533,A/Oregon/14/2017,HA-PB2
534,A/Oregon/14/2017,NA-NS
535,A/Oregon/14/2017,NA-PA
536,A/Oregon/14/2017,NA-PB1
537,A/Oregon/14/2017,NA-PB2
538,A/Pennsylvania/49/2014,HA-M
539,A/Pennsylvania/49/2014,HA-NA
540,A/Pennsylvania/49/2014,HA-NP
541,A/Pennsylvania/49/2014,HA-NS
542,A/Pennsylvania/49/2014,HA-PA
543,A/Pennsylvania/49/2014,HA-PB1
544,A/Pennsylvania/49/2014,HA-PB2
545,A/Pennsylvania/49/2014,M-PB2
546,A/Pennsylvania/49/2014,NA-PB2
547,A/Pennsylvania/49/2014,NP-PB2
548,A/Pennsylvania/49/2014,NS-PB2
549,A/Pennsylvania/49/2014,PA-PB2
550,A/Pennsylvania/49/2014,PB1-PB2
551,A/Qinghai/178/2010,M-PA
552,A/Qinghai/178/2010,NP-PA
553,A/Qinghai/178/2010,PA-PB2
554,A/Scotland/78/2003,HA-M
555,A/Scotland/78/2003,HA-PB1
556,A/Scotland/78/2003,M-PA
557,A/Scotland/78/2003,NA-NP
558,A/Scotland/78/2003,NP-PA
559,A/Scotland/78/2003,NP-PB2
560,A/Scotland/78/2003,PA-PB1
561,A/Scotland/79/2003,HA-NA
562,A/Scotland/79/2003,HA-NS
563,A/Scotland/79/2003,HA-PA
564,A/Scotland/79/2003,HA-PB2
565,A/Scotland/79/2003,M-NA
566,A/Scotland/79/2003,M-PA
567,A/Scotland/79/2003,NA-NP
568,A/Scotland/79/2003,NA-NS
569,A/Scotland/79/2003,NA-PB1
570,A/Scotland/79/2003,NA-PB2
571,A/Scotland/79/2003,NP-PA
572,A/Scotland/79/2003,PA-PB1
573,A/Scotland/79/2003,PA-PB2
574,A/Seoul/1595/2015,HA-NP
575,A/Seoul/1595/2015,HA-PA
576,A/Seoul/1595/2015,HA-PB1
577,A/Seoul/1595/2015,HA-PB2
578,A/Seoul/1595/2015,NA-NP
579,A/Seoul/1595/2015,NA-NS
580,A/Seoul/1595/2015,NA-PA
581,A/Seoul/1595/2015,NA-PB1
582,A/Seoul/1595/2015,NA-PB2
583,A/Seoul/1595/2015,NP-PA
584,A/Seoul/1595/2015,NP-PB1
585,A/Seoul/1595/2015,NP-PB2
586,A/Seoul/1595/2015,PA-PB1
587,A/Seoul/1595/2015,PA-PB2
588,A/Shanghai/10/2017,HA-NA
589,A/Shanghai/10/2017,HA-NS
590,A/Shanghai/10/2017,HA-PA
591,A/Shanghai/10/2017,HA-PB1
592,A/Shanghai/10/2017,M-NS
593,A/Shanghai/10/2017,NA-NS
594,A/Shanghai/10/2017,NA-PB2
595,A/Shanghai/10/2017,NP-NS
596,A/Shanghai/10/2017,NS-PA
597,A/Shanghai/10/2017,NS-PB1
598,A/Shanghai/10/2017,NS-PB2
599,A/Shanghai/10/2017,PB1-PB2
600,A/Shanghai/11/2017,NA-NS
601,A/Shanghai/11/2017,NP-NS
602,A/Shanghai/11/2017,NS-PA
603,A/Shanghai/11/2017,NS-PB1
604,A/Shanghai/11/2017,NS-PB2
605,A/Shanghai/12/2017,HA-PB2
606,A/Shanghai/12/2017,NA-NS
607,A/Shanghai/12/2017,NA-PB2
608,A/Shanghai/12/2017,NP-NS
609,A/Shanghai/12/2017,NS-PA
610,A/Shanghai/12/2017,NS-PB1
611,A/Shanghai/12/2017,NS-PB2
612,A/Shanghai/15/2017,HA-NS
613,A/Shanghai/15/2017,M-PB1
614,A/Shanghai/15/2017,M-PB2
615,A/Shanghai/15/2017,NS-PB1
616,A/Shanghai/15/2017,NS-PB2
617,A/Shanghai/16/2017,M-PB1
618,A/Shanghai/16/2017,M-PB2
619,A/Shanghai/16/2017,NS-PB1
620,A/Shanghai/16/2017,NS-PB2
621,A/Shanghai/16/2017,PB1-PB2
622,A/Shanghai/17/2017,HA-PB2
623,A/Shanghai/17/2017,M-NA
624,A/Shanghai/17/2017,M-NP
625,A/Shanghai/17/2017,M-PA
626,A/Shanghai/17/2017,M-PB1
627,A/Shanghai/17/2017,M-PB2
628,A/Shanghai/17/2017,NA-PB2
629,A/Shanghai/17/2017,NS-PB2
630,A/Shanghai/18/2017,HA-NP
631,A/Shanghai/18/2017,NA-NP
632,A/Shanghai/18/2017,NP-PA
633,A/Shanghai/18/2017,NP-PB1
634,A/Shanghai/18/2017,NP-PB2
635,A/Shanghai/19/2017,HA-NP
636,A/Shanghai/19/2017,NA-NP
637,A/Shanghai/19/2017,NP-PA
638,A/Shanghai/19/2017,NP-PB1
639,A/Shanghai/19/2017,NP-PB2
640,A/Shanghai/19/2017,NS-PB1
641,A/Shanghai/19/2017,NS-PB2
642,A/Shanghai/19/2017,PB1-PB2
643,A/Shanghai/1/2016,NS-PB1
644,A/Shanghai/20/2017,NS-PA
645,A/Shanghai/21/2017,PB1-PB2
646,A/Shanghai/29/2017,HA-PA
647,A/Shanghai/29/2017,HA-PB1
648,A/Shanghai/29/2017,M-PA
649,A/Shanghai/29/2017,M-PB1
650,A/Shanghai/29/2017,M-PB2
651,A/Shanghai/29/2017,NA-NS
652,A/Shanghai/29/2017,NP-PB1
653,A/Shanghai/29/2017,NP-PB2
654,A/Shanghai/29/2017,NS-PA
655,A/Shanghai/29/2017,NS-PB1
656,A/Shanghai/29/2017,NS-PB2
657,A/Shanghai/29/2017,PA-PB1
658,A/Shanghai/29/2017,PA-PB2
659,A/Shanghai/30/2017,HA-M
660,A/Shanghai/30/2017,HA-NP
661,A/Shanghai/30/2017,HA-NS
662,A/Shanghai/30/2017,HA-PA
663,A/Shanghai/30/2017,M-PA
664,A/Shanghai/30/2017,M-PB1
665,A/Shanghai/30/2017,M-PB2
666,A/Shanghai/30/2017,NA-NS
667,A/Shanghai/30/2017,NP-PA
668,A/Shanghai/30/2017,NP-PB1
669,A/Shanghai/30/2017,NP-PB2
670,A/Shanghai/30/2017,NS-PA
671,A/Shanghai/30/2017,NS-PB1
672,A/Shanghai/30/2017,NS-PB2
673,A/Shanghai/30/2017,PA-PB2
674,A/Shanghai/30/2017,PB1-PB2
675,A/Shanghai/31/2017,HA-NA
676,A/Shanghai/31/2017,HA-PA
677,A/Shanghai/31/2017,HA-PB1
678,A/Shanghai/31/2017,HA-PB2
679,A/Shanghai/31/2017,M-PA
680,A/Shanghai/31/2017,M-PB1
681,A/Shanghai/31/2017,NA-NP
682,A/Shanghai/31/2017,NA-NS
683,A/Shanghai/31/2017,NA-PA
684,A/Shanghai/31/2017,NP-PA
685,A/Shanghai/31/2017,NP-PB1
686,A/Shanghai/31/2017,NP-PB2
687,A/Shanghai/31/2017,NS-PA
688,A/Shanghai/31/2017,NS-PB1
689,A/Shanghai/31/2017,NS-PB2
690,A/Shanghai/31/2017,PA-PB1
691,A/Shanghai/31/2017,PB1-PB2
692,A/Shanghai/32/2017,HA-NA
693,A/Shanghai/32/2017,HA-NP
694,A/Shanghai/32/2017,HA-NS
695,A/Shanghai/32/2017,HA-PA
696,A/Shanghai/32/2017,HA-PB2
697,A/Shanghai/32/2017,NA-NP
698,A/Shanghai/32/2017,NA-NS
699,A/Shanghai/32/2017,NA-PA
700,A/Shanghai/32/2017,NS-PA
701,A/Shanghai/32/2017,NS-PB1
702,A/Shanghai/32/2017,NS-PB2
703,A/Shanghai/32/2017,PA-PB1
704,A/Shanghai/32/2017,PA-PB2
705,A/Shanghai/33/2017,HA-NS
706,A/Shanghai/33/2017,NA-NS
707,A/Shanghai/33/2017,NA-PB2
708,A/Shanghai/33/2017,NP-PA
709,A/Shanghai/33/2017,NP-PB2
710,A/Shanghai/33/2017,NS-PA
711,A/Shanghai/33/2017,NS-PB1
712,A/Shanghai/33/2017,NS-PB2
713,A/Shanghai/33/2017,PA-PB2
714,A/Shanghai/35/2017,HA-M
715,A/Shanghai/35/2017,HA-NA
716,A/Shanghai/35/2017,HA-NP
717,A/Shanghai/35/2017,HA-NS
718,A/Shanghai/35/2017,HA-PA
719,A/Shanghai/35/2017,HA-PB2
720,A/Shanghai/35/2017,M-PA
721,A/Shanghai/35/2017,M-PB1
722,A/Shanghai/35/2017,NA-NP
723,A/Shanghai/35/2017,NA-NS
724,A/Shanghai/35/2017,NA-PB2
725,A/Shanghai/35/2017,NP-PA
726,A/Shanghai/35/2017,NP-PB1
727,A/Shanghai/35/2017,NP-PB2
728,A/Shanghai/35/2017,NS-PA
729,A/Shanghai/35/2017,NS-PB1
730,A/Shanghai/35/2017,NS-PB2
731,A/Shanghai/35/2017,PA-PB2
732,A/Shanghai/35/2017,PB1-PB2
733,A/Shanghai/36/2017,HA-M
734,A/Shanghai/36/2017,HA-NS
735,A/Shanghai/36/2017,HA-PA
736,A/Shanghai/36/2017,HA-PB2
737,A/Shanghai/36/2017,M-NA
738,A/Shanghai/36/2017,M-PA
739,A/Shanghai/36/2017,M-PB1
740,A/Shanghai/36/2017,NA-NS
741,A/Shanghai/36/2017,NA-PB2
742,A/Shanghai/36/2017,NS-PA
743,A/Shanghai/36/2017,NS-PB1
744,A/Shanghai/36/2017,NS-PB2
745,A/Shanghai/36/2017,PA-PB1
746,A/Shanghai/36/2017,PA-PB2
747,A/Shanghai/37/2017,NP-PA
748,A/Shanghai/37/2017,NP-PB1
749,A/Shanghai/37/2017,NP-PB2
750,A/Shanghai/37/2017,NS-PB1
751,A/Shanghai/37/2017,PA-PB2
752,A/Shanghai/37/2017,PB1-PB2
753,A/Shanghai/38/2017,HA-M
754,A/Shanghai/38/2017,HA-NA
755,A/Shanghai/38/2017,HA-NP
756,A/Shanghai/38/2017,HA-NS
757,A/Shanghai/38/2017,HA-PA
758,A/Shanghai/38/2017,M-PA
759,A/Shanghai/38/2017,M-PB1
760,A/Shanghai/38/2017,M-PB2
761,A/Shanghai/38/2017,NA-NP
762,A/Shanghai/38/2017,NA-PA
763,A/Shanghai/38/2017,NA-PB2
764,A/Shanghai/38/2017,NP-PB1
765,A/Shanghai/38/2017,NP-PB2
766,A/Shanghai/38/2017,NS-PB1
767,A/Shanghai/38/2017,PA-PB1
768,A/Shanghai/38/2017,PA-PB2
769,A/Shanghai/38/2017,PB1-PB2
770,A/Shanghai/40/2017,HA-NA
771,A/Shanghai/40/2017,HA-NS
772,A/Shanghai/40/2017,M-NA
773,A/Shanghai/40/2017,M-PA
774,A/Shanghai/40/2017,M-PB2
775,A/Shanghai/40/2017,NA-NS
776,A/Shanghai/40/2017,NA-PB2
777,A/Shanghai/40/2017,NP-PB2
778,A/Shanghai/40/2017,NS-PA
779,A/Shanghai/40/2017,NS-PB1
780,A/Shanghai/40/2017,NS-PB2
781,A/Shanghai/40/2017,PA-PB1
782,A/Shanghai/40/2017,PA-PB2
783,A/Shanghai/41/2017,HA-M
784,A/Shanghai/41/2017,HA-NP
785,A/Shanghai/41/2017,HA-NS
786,A/Shanghai/41/2017,HA-PA
787,A/Shanghai/41/2017,M-NA
788,A/Shanghai/41/2017,M-PA
789,A/Shanghai/41/2017,M-PB1
790,A/Shanghai/41/2017,NA-PB2
791,A/Shanghai/41/2017,NP-PB2
792,A/Shanghai/41/2017,NS-PB1
793,A/Shanghai/41/2017,PA-PB2
794,A/Shanghai/43/2017,M-NP
795,A/Shanghai/43/2017,NP-PA
796,A/Shanghai/43/2017,NP-PB1
797,A/Shanghai/43/2017,NP-PB2
798,A/Shanghai/43/2017,NS-PB1
799,A/Shanghai/43/2017,NS-PB2
800,A/Shanghai/43/2017,PA-PB2
801,A/Shanghai/45/2017,HA-NS
802,A/Shanghai/45/2017,HA-PB2
803,A/Shanghai/45/2017,M-PB1
804,A/Shanghai/45/2017,NA-NS
805,A/Shanghai/45/2017,NA-PB2
806,A/Shanghai/45/2017,NP-NS
807,A/Shanghai/45/2017,NP-PA
808,A/Shanghai/45/2017,NP-PB2
809,A/Shanghai/45/2017,NS-PA
810,A/Shanghai/45/2017,NS-PB1
811,A/Shanghai/45/2017,NS-PB2
812,A/Shanghai/45/2017,PA-PB2
813,A/Shanghai/45/2017,PB1-PB2
814,A/Shanghai/46/2017,HA-M
815,A/Shanghai/46/2017,HA-NA
816,A/Shanghai/46/2017,HA-NP
817,A/Shanghai/46/2017,HA-NS
818,A/Shanghai/46/2017,HA-PA
819,A/Shanghai/46/2017,HA-PB2
820,A/Shanghai/46/2017,M-NA
821,A/Shanghai/46/2017,M-PA
822,A/Shanghai/46/2017,M-PB1
823,A/Shanghai/46/2017,NA-NP
824,A/Shanghai/46/2017,NA-PA
825,A/Shanghai/46/2017,NP-PB1
826,A/Shanghai/46/2017,NP-PB2
827,A/Shanghai/46/2017,NS-PB1
828,A/Shanghai/46/2017,NS-PB2
829,A/Shanghai/46/2017,PA-PB1
830,A/Shanghai/46/2017,PA-PB2
831,A/Shanghai/47/2017,NP-PA
832,A/Shanghai/47/2017,NP-PB2
833,A/Shanghai/47/2017,NS-PB1
834,A/Shanghai/47/2017,PA-PB2
835,A/Shanghai/49/2017,HA-M
836,A/Shanghai/49/2017,HA-NA
837,A/Shanghai/49/2017,HA-NS
838,A/Shanghai/49/2017,M-NA
839,A/Shanghai/49/2017,M-NS
840,A/Shanghai/49/2017,M-PA
841,A/Shanghai/49/2017,M-PB1
842,A/Shanghai/49/2017,M-PB2
843,A/Shanghai/49/2017,NA-NP
844,A/Shanghai/49/2017,NA-NS
845,A/Shanghai/49/2017,NA-PA
846,A/Shanghai/49/2017,NP-NS
847,A/Shanghai/49/2017,NP-PA
848,A/Shanghai/49/2017,NP-PB1
849,A/Shanghai/49/2017,NP-PB2
850,A/Shanghai/49/2017,NS-PA
851,A/Shanghai/49/2017,NS-PB1
852,A/Shanghai/49/2017,NS-PB2
853,A/Shanghai/49/2017,PA-PB2
854,A/Shanghai/50/2017,HA-M
855,A/Shanghai/50/2017,HA-NP
856,A/Shanghai/50/2017,HA-NS
857,A/Shanghai/50/2017,HA-PA
858,A/Shanghai/50/2017,HA-PB2
859,A/Shanghai/50/2017,M-NA
860,A/Shanghai/50/2017,M-PA
861,A/Shanghai/50/2017,M-PB1
862,A/Shanghai/50/2017,M-PB2
863,A/Shanghai/50/2017,NA-PB2
864,A/Shanghai/50/2017,NP-PB1
865,A/Shanghai/50/2017,NP-PB2
866,A/Shanghai/50/2017,NS-PB1
867,A/Shanghai/50/2017,PA-PB1
868,A/Shanghai/50/2017,PA-PB2
869,A/Shanghai/51/2017,HA-M
870,A/Shanghai/51/2017,HA-NP
871,A/Shanghai/51/2017,HA-NS
872,A/Shanghai/51/2017,HA-PA
873,A/Shanghai/51/2017,M-NA
874,A/Shanghai/51/2017,M-PA
875,A/Shanghai/51/2017,M-PB1
876,A/Shanghai/51/2017,M-PB2
877,A/Shanghai/51/2017,NP-PA
878,A/Shanghai/51/2017,NP-PB1
879,A/Shanghai/51/2017,NP-PB2
880,A/Shanghai/51/2017,NS-PB1
881,A/Shanghai/51/2017,PA-PB2
882,A/Shanghai/51/2017,PB1-PB2
883,A/Shanghai/53/2017,HA-M
884,A/Shanghai/53/2017,HA-NP
885,A/Shanghai/53/2017,HA-NS
886,A/Shanghai/53/2017,HA-PA
887,A/Shanghai/53/2017,HA-PB2
888,A/Shanghai/53/2017,M-NA
889,A/Shanghai/53/2017,M-NS
890,A/Shanghai/53/2017,M-PA
891,A/Shanghai/53/2017,M-PB1
892,A/Shanghai/53/2017,M-PB2
893,A/Shanghai/53/2017,NA-NS
894,A/Shanghai/53/2017,NP-PB2
895,A/Shanghai/53/2017,NS-PA
896,A/Shanghai/53/2017,NS-PB1
897,A/Shanghai/53/2017,NS-PB2
898,A/Shanghai/53/2017,PA-PB2
899,A/Shanghai/7/2016,HA-NS
900,A/Shanghai/7/2016,NS-PB1
901,A/Shanghai/7/2016,NS-PB2
902,A/South Carolina/NHRC0002/2003,PA-PB1
903,A/Taipei/0011/2015,NA-NP
904,A/Taipei/0011/2015,NA-PB2
905,A/Tennessee/F2031A/2011,NA-NS
906,A/Texas/136/2016,HA-M
907,A/Texas/136/2016,NA-PB1
908,A/Texas/136/2016,PB1-PB2
909,A/Texas/47/2017,HA-PB1
910,A/Texas/47/2017,NA-PA
911,A/Texas/47/2017,NA-PB1
912,A/Texas/47/2017,NA-PB2
913,A/Vermont/08/2017,NS-PB1
914,A/Vermont/08/2017,PA-PB1
915,A/Washington/55/2016,HA-M
916,A/Washington/55/2016,NA-PB1
917,A/Washington/55/2016,PB1-PB2
918,A/Washington/60/2014,HA-M
919,A/Washington/60/2014,HA-NA
920,A/Washington/60/2014,HA-PB1
921,A/Washington/60/2014,HA-PB2
922,A/Washington/60/2014,M-NS
923,A/Washington/60/2014,M-PA
924,A/Washington/60/2014,M-PB2
925,A/Washington/60/2014,NA-NS
926,A/Washington/60/2014,NP-PB2
927,A/Washington/60/2014,NS-PB1
928,A/Washington/60/2014,NS-PB2
929,A/Washington/60/2014,PA-PB2
930,A/Washington/60/2014,PB1-PB2
931,A/Yucatan/844/2003,HA-PB1
