"StrainName","vaccine_code","Year","Month","Day","Dom","PB2_Nonsyn","PB1_Nonsyn","PA_Nonsyn","HA_Nonsyn","NP_Nonsyn","NA_Nonsyn","M_Nonsyn","NS_Nonsyn","PB2_Syn","PB1_Syn","PA_Syn","HA_Syn","NP_Syn","NA_Syn","M_Syn","NS_Syn"
"CY003287_A_New_York_438_2000","Mos99",2000,1,18,0,1,1,1,3,2,0,2,4,15,4,7,2,4,1,8,3
"CY114324_A_Netherlands_3_2000","Mos99",2000,1,6,0,2,1,1,4,1,0,1,0,14,10,4,3,0,1,8,3
"CY114340_A_Netherlands_126_2001","Mos99",2001,3,21,0,3,2,3,4,4,6,3,5,4,14,11,4,16,3,9,9
"CY002335_A_New_York_77_2001","Mos99",2001,12,26,0,2,3,6,5,5,9,1,4,31,24,17,12,21,22,9,9
"CY000216_A_New_York_91_2002","Mos99",2002,1,17,0,2,3,6,5,5,9,1,4,25,25,17,11,24,22,10,11
"CY112948_A_Netherlands_1_2002","Mos99",2002,1,7,0,4,4,7,6,6,6,1,5,33,21,18,9,22,17,9,7
"CY000552_A_New_York_115_2002","Mos99",2002,2,7,0,2,3,6,6,5,9,1,4,28,23,17,10,23,21,10,8
"CY013812_A_New_York_C4_2002","Mos99",2002,2,1,0,3,3,7,6,5,10,1,5,28,25,17,10,25,22,9,8
"EPI358781_A_Fujian_411_2002","Mos99",2002,7,1,0,3,2,3,17,2,8,1,4,22,17,11,19,7,8,9,4
"CY000872_A_New_York_193_2003","Mos99",2003,2,19,0,3,5,4,11,4,8,4,7,29,24,24,16,25,17,11,12
"CY032968_A_Yucatan_844_2003","Mos99",2003,3,19,0,2,2,2,12,2,8,1,0,23,16,12,21,12,10,10,5
"CY001559_A_New_York_215_2003","Mos99",2003,4,22,0,4,3,8,8,5,9,3,7,39,33,22,11,25,23,10,13
"KJ855376_A_Mexico_DIF835_2003","Mos99",2003,7,4,0,3,3,3,14,2,8,2,0,27,19,15,22,9,12,11,4
"CY088027_A_England_425_2003","Mos99",2003,10,29,0,7,3,9,16,6,9,4,6,38,33,22,24,26,26,13,7
"CY000352_A_New_York_15_2003","Mos99",2003,11,12,0,4,3,9,17,6,9,3,6,38,34,30,19,24,19,14,9
"CY000908_A_New_York_13_2003","Mos99",2003,11,12,0,5,3,6,14,6,9,3,5,39,31,26,26,25,22,11,7
"CY002351_A_New_York_272_2003","Mos99",2003,11,28,0,3,3,6,16,6,9,3,5,39,32,26,25,25,22,12,7
"CY088035_A_England_438_2003","Mos99",2003,11,12,0,3,3,7,16,6,8,1,5,37,30,28,20,24,22,12,8
"CY088115_A_England_467_2003","Mos99",2003,11,6,0,4,3,7,18,5,9,4,6,38,34,27,21,25,23,12,7
"CY088131_A_Scotland_78_2003","Mos99",2003,11,7,0,3,4,9,15,6,9,4,6,39,32,22,25,25,24,10,8
"CY088139_A_Scotland_79_2003","Mos99",2003,11,8,0,2,4,7,15,6,9,1,5,36,29,27,20,23,23,13,8
"CY088187_A_England_944_2003","Mos99",2003,11,17,0,4,3,9,16,6,9,4,6,37,33,22,23,27,26,13,7
"CY088251_A_England_525_2003","Mos99",2003,11,27,0,5,3,9,15,5,9,4,5,39,35,22,22,26,28,12,7
"CY088267_A_England_585_2003","Mos99",2003,11,25,0,5,3,7,16,5,9,3,6,25,31,30,25,25,22,12,8
"CY088275_A_England_487_2003","Mos99",2003,11,24,0,4,3,8,16,5,9,4,6,39,34,29,25,26,23,13,9
"CY088291_A_England_491_2003","Mos99",2003,11,24,0,4,3,7,16,5,9,4,6,37,35,28,23,26,22,13,8
"CY088323_A_England_508_2003","Mos99",2003,11,27,0,3,5,7,17,5,10,3,6,39,31,30,19,25,22,12,8
"CY088339_A_England_957_2003","Mos99",2003,11,28,0,4,3,8,15,6,9,4,6,37,37,29,23,28,24,13,7
"CY088379_A_England_532_2003","Mos99",2003,11,27,0,4,3,7,15,5,10,4,6,37,38,28,24,24,23,13,7
"CY090956_A_South_Carolina_NHRC0002_2003","Mos99",2003,11,13,0,3,4,7,15,6,10,3,6,37,32,28,22,25,24,11,7
"CY107095_A_England_470_2003","Mos99",2003,11,5,0,4,3,9,15,5,9,4,5,37,33,22,22,24,24,13,7
"CY107111_A_England_516_2003","Mos99",2003,11,20,0,2,3,11,17,7,9,1,5,36,31,30,20,24,26,14,8
"CY107151_A_England_493_2003","Mos99",2003,11,23,0,5,3,8,17,6,9,4,5,40,35,30,21,24,22,12,7
"CY107167_A_England_532_2003","Mos99",2003,11,27,0,4,3,6,15,5,9,4,6,37,39,25,24,24,22,13,7
"CY000024_A_New_York_30_2003","Mos99",2003,12,2,0,6,4,8,15,5,10,4,5,38,35,28,22,25,23,13,7
"CY000056_A_New_York_35_2003","Mos99",2003,12,4,0,3,4,6,17,6,10,3,5,38,34,27,21,24,22,12,7
"CY000104_A_New_York_54_2003","Mos99",2003,12,10,0,3,3,6,14,6,9,3,5,38,31,27,24,25,26,11,7
"CY000144_A_New_York_26_2003","Mos99",2003,12,2,0,3,4,7,17,6,9,4,5,37,32,29,19,25,20,13,9
"CY000272_A_New_York_53_2003","Mos99",2003,12,11,0,3,4,9,17,6,9,3,6,36,33,29,20,24,20,14,9
"CY000512_A_New_York_4_2003","Mos99",2003,12,8,0,5,3,9,15,6,10,4,7,38,33,28,22,25,22,13,8
"CY001095_A_New_York_24_2003","Mos99",2003,12,1,0,4,4,8,17,6,10,3,6,38,32,29,20,26,20,14,9
"CY001196_A_New_York_18_2003","Mos99",2003,12,1,0,3,4,6,16,6,10,3,5,38,33,30,21,26,26,11,7
"CY001300_A_New_York_37_2003","Mos99",2003,12,4,0,3,3,6,15,6,9,3,5,39,32,26,26,25,22,11,7
"CY088363_A_England_558_2003","Mos99",2003,12,5,0,6,3,7,19,4,10,1,0,21,19,27,23,12,23,10,5
"CY088387_A_England_522_2003","Mos99",2003,12,12,0,4,3,9,15,5,10,4,5,38,34,22,22,24,26,12,7
"CY088403_A_England_547_2003","Mos99",2003,12,18,0,2,3,7,16,7,9,1,5,36,32,28,22,22,23,12,8
"CY091468_A_California_NHRC0006_2003","Mos99",2003,12,10,0,3,4,6,17,5,9,3,6,36,33,26,22,25,19,14,9
"CY092216_A_Georgia_NHRC0001_2003","Mos99",2003,12,5,0,3,3,8,15,6,10,3,5,38,31,34,21,26,23,11,7
"KJ855448_A_Mexico_DIF2662_2003","Mos99",2003,12,15,0,3,3,8,16,6,10,3,6,38,30,30,19,26,19,13,9
"CY000040_A_New_York_33_2004","Mos99",2004,1,9,0,3,3,6,15,6,9,3,5,40,32,27,27,28,23,11,7
"CY000768_A_New_York_10_2004","Mos99",2004,1,30,0,4,5,7,18,5,8,5,5,39,33,27,20,25,22,13,7
"CY001036_A_New_York_6_2004","Mos99",2004,1,6,0,4,4,7,14,5,8,4,5,39,32,26,20,24,22,13,7
"CY009267_A_New_York_499_2004","Mos99",2004,1,15,0,3,3,7,14,5,9,4,5,41,33,25,21,25,22,14,7
"CY091124_A_Missouri_NHRC0002_2004","Mos99",2004,1,9,0,4,3,9,18,5,10,3,6,40,30,31,19,25,20,14,11
"CY038574_A_Hong_Kong_HKU2_2004","Mos99",2004,2,13,0,4,3,8,15,5,11,3,5,38,34,30,21,26,20,13,8
"CY039494_A_Hong_Kong_HKU1_2004","Mos99",2004,2,10,0,4,2,1,17,4,11,1,2,25,21,18,22,11,14,10,4
"CY038950_A_Hong_Kong_HKU4_2004","Mos99",2004,3,1,0,3,4,4,21,3,10,2,4,24,23,23,18,13,14,10,5
"CY038958_A_Hong_Kong_HKU6_2004","Mos99",2004,3,6,0,3,3,1,17,4,11,2,0,21,19,20,24,14,12,11,4
"CY039166_A_Hong_Kong_HKU5_2004","Mos99",2004,3,4,0,3,3,6,16,5,8,4,7,42,31,33,25,25,22,12,9
"CY038998_A_Hong_Kong_HKU15_2004","Mos99",2004,4,23,0,2,3,1,17,4,12,1,0,25,20,23,24,12,13,10,4
"CY038990_A_Hong_Kong_HKU14_2004","Mos99",2004,4,16,1,2,3,1,17,4,12,2,1,22,18,18,22,17,12,10,6
"CY038614_A_Hong_Kong_HKU19_2004","Mos99",2004,6,1,0,5,4,6,19,2,11,2,0,24,23,14,22,16,14,11,5
"CY038622_A_Hong_Kong_HKU20_2004","Mos99",2004,6,15,0,4,4,5,19,3,12,2,0,26,26,14,21,16,13,9,4
"CY039014_A_Hong_Kong_HKU21_2004","Mos99",2004,6,19,0,4,4,5,19,2,13,4,0,25,26,13,22,17,15,13,4
"CY038638_A_Hong_Kong_HKU29_2004","Mos99",2004,7,21,0,4,4,5,19,2,12,3,2,25,28,15,23,17,14,12,5
"CY038646_A_Hong_Kong_HKU31_2004","Mos99",2004,7,30,0,4,4,6,20,3,12,2,1,25,24,15,22,17,15,11,5
"CY039030_A_Hong_Kong_HKU25_2004","Mos99",2004,7,7,0,4,4,5,21,3,12,2,0,25,23,15,23,17,14,11,4
"CY039038_A_Hong_Kong_HKU30_2004","Mos99",2004,7,22,0,4,4,5,21,2,12,2,0,25,27,14,23,15,14,13,4
"CY039174_A_Hong_Kong_HKU24_2004","Mos99",2004,7,5,0,2,4,2,16,4,11,3,1,26,19,22,25,14,17,10,4
"CY043751_A_Hong_Kong_HKU28_2004","Mos99",2004,7,17,0,4,4,5,19,2,12,3,2,25,28,15,23,17,13,11,5
"CY038654_A_Hong_Kong_HKU34_2004","Mos99",2004,8,18,0,4,4,5,21,3,12,2,1,25,25,16,21,17,14,10,5
"CY039502_A_Hong_Kong_HKU32_2004","Mos99",2004,8,2,1,4,8,5,20,4,13,3,0,25,24,15,22,17,15,11,4
"CY006386_A_New_York_467_2004","Mos99",2004,9,17,1,4,4,3,19,6,13,3,0,24,20,22,25,14,13,10,5
"CY040321_A_Hong_Kong_HKU38_2004","Mos99",2004,9,23,0,4,5,5,20,3,12,2,3,27,25,13,23,17,14,9,5
"EPI367109_A_California_7_2004","Mos99",2004,9,16,1,2,2,4,22,7,12,1,0,29,19,24,24,17,16,9,4
"CY002719_A_New_York_319_2004","Fuj02",2004,11,8,0,1,2,4,4,3,4,3,3,14,9,16,7,10,8,4,1
"CY003671_A_New_York_471_2004","Fuj02",2004,11,8,0,4,3,2,2,4,5,5,2,11,9,16,8,9,8,3,1
"CY039054_A_Hong_Kong_HKU40_2004","Fuj02",2004,11,23,0,1,2,2,4,1,4,1,3,7,9,4,3,11,8,1,4
"CY002199_A_New_York_366_2004","Fuj02",2004,12,20,0,0,2,3,3,3,7,3,2,17,8,17,11,10,9,5,2
"CY002231_A_New_York_372_2004","Fuj02",2004,12,22,0,0,2,4,3,3,7,3,3,13,5,17,10,10,10,5,3
"CY002255_A_New_York_381_2004","Fuj02",2004,12,28,0,0,1,1,3,3,7,4,4,11,8,17,7,10,9,5,4
"CY002263_A_New_York_383_2004","Fuj02",2004,12,29,0,1,1,2,3,5,4,2,4,15,8,22,6,10,11,3,0
"CY002447_A_New_York_365_2004","Fuj02",2004,12,16,0,2,3,2,4,3,4,4,1,14,8,22,4,11,13,5,4
"CY002599_A_New_York_377_2004","Fuj02",2004,12,20,0,1,1,1,4,3,7,6,4,13,9,17,6,11,9,4,2
"CY002791_A_New_York_232_2004","Fuj02",2004,12,9,0,0,1,1,3,3,7,3,4,11,8,18,6,10,10,5,2
"CY003079_A_New_York_123_2004","Fuj02",2004,12,16,0,1,2,1,4,3,7,3,4,13,9,17,6,10,10,5,2
"CY019156_A_New_York_900_2004","Fuj02",2004,12,22,0,0,2,4,3,3,7,3,3,13,5,17,10,10,10,5,3
"CY019164_A_New_York_900_2004","Fuj02",2004,12,22,0,0,2,4,3,3,7,3,3,13,5,17,10,10,10,5,3
"CY019180_A_New_York_905_2004","Fuj02",2004,12,27,0,0,1,1,3,3,7,3,4,11,8,17,7,10,9,4,3
"CY019260_A_New_York_908_2004","Fuj02",2004,12,27,0,0,1,1,3,3,7,3,4,11,8,17,7,10,9,4,3
"CY112996_A_Netherlands_132_2004","Fuj02",2004,12,4,0,0,3,2,5,3,5,2,4,15,8,18,8,8,6,2,5
"CY002007_A_New_York_359_2005","Fuj02",2005,1,17,0,0,1,3,2,3,5,2,4,15,8,15,5,8,9,4,0
"CY019300_A_New_York_913_2005","Fuj02",2005,1,10,0,0,1,3,3,3,7,3,4,13,9,18,7,11,10,4,2
"CY019308_A_New_York_918_2005","Fuj02",2005,1,10,0,0,1,1,3,3,7,3,4,13,9,18,6,11,10,5,2
"CY019324_A_New_York_918_2005","Fuj02",2005,1,10,0,0,1,1,3,3,7,3,4,13,9,18,6,11,10,5,2
"CY020540_A_New_York_913_2005","Fuj02",2005,1,10,0,0,1,3,3,3,7,3,4,13,9,18,7,11,10,4,2
"CY038686_A_Hong_Kong_HKU42_2005","Fuj02",2005,1,6,0,1,3,2,4,1,4,2,2,6,12,4,2,11,7,4,0
"EPI502253_A_Wisconsin_67_2005","Fuj02",2005,1,1,0,1,4,4,9,1,6,1,4,18,11,11,10,13,7,1,0
"CY002015_A_New_York_361_2005","Fuj02",2005,2,2,0,0,1,1,4,3,7,3,4,12,9,17,7,10,9,4,3
"CY002463_A_New_York_373_2005","Fuj02",2005,2,22,0,1,2,0,2,3,7,2,4,14,10,16,9,13,9,3,0
"CY003647_A_New_York_463_2005","Fuj02",2005,2,9,0,1,2,3,5,3,5,3,3,13,9,18,9,11,7,4,1
"CY090996_A_South_Carolina_NHRC0001_2005","Fuj02",2005,2,11,0,1,2,3,4,5,4,3,2,17,11,18,7,12,13,3,0
"CY091140_A_Texas_NHRC0001_2005","Fuj02",2005,2,16,0,0,3,2,5,3,6,4,1,14,9,20,8,9,7,6,7
"CY091436_A_California_NHRC0002_2005","Fuj02",2005,2,7,1,0,1,3,6,3,4,2,3,11,13,20,6,8,9,3,3
"CY002079_A_New_York_396_2005","Fuj02",2005,3,4,0,0,1,2,2,3,4,6,1,13,9,18,6,11,8,4,1
"CY006091_A_New_York_465_2005","Fuj02",2005,3,8,0,2,1,1,4,3,7,3,4,14,12,18,6,10,9,4,2
"CY039062_A_Hong_Kong_HKU45_2005","Fuj02",2005,3,7,0,1,0,0,2,3,6,2,2,14,13,18,9,10,8,3,0
"CY039070_A_Hong_Kong_HKU47_2005","Fuj02",2005,3,19,1,1,2,3,6,1,5,1,4,18,10,5,10,12,7,1,0
"CY040329_A_Hong_Kong_HKU52_2005","Fuj02",2005,4,16,0,1,1,3,6,1,5,1,4,14,10,6,9,10,8,1,0
"CY091012_A_Illinois_NHRC0001_2005","Fuj02",2005,4,6,0,1,1,3,4,4,6,3,4,18,12,20,7,15,11,2,2
"CY038702_A_Hong_Kong_HKU62_2005","Fuj02",2005,5,13,0,1,1,3,7,1,5,1,4,15,10,6,14,13,9,3,0
"CY038710_A_Hong_Kong_HKU65_2005","Fuj02",2005,5,17,0,0,3,3,5,1,6,1,4,17,9,5,13,10,6,1,0
"CY038718_A_Hong_Kong_HKU67_2005","Fuj02",2005,5,23,1,1,4,3,5,1,5,1,4,16,9,9,10,12,7,2,0
"CY038734_A_Hong_Kong_HKU69_2005","Fuj02",2005,5,27,0,0,1,4,5,1,5,1,4,18,9,6,12,12,6,1,1
"CY038742_A_Hong_Kong_HKU70_2005","Fuj02",2005,5,30,0,0,2,4,6,1,6,1,2,16,10,7,12,11,6,1,0
"CY039214_A_Hong_Kong_HKU58_2005","Fuj02",2005,5,5,0,1,2,4,5,1,5,1,4,15,12,6,12,12,6,2,0
"CY039230_A_Hong_Kong_HKU61_2005","Fuj02",2005,5,11,1,0,1,3,5,1,6,1,4,14,9,6,11,13,7,1,0
"CY039238_A_Hong_Kong_HKU63_2005","Fuj02",2005,5,14,0,0,2,4,6,1,5,2,3,15,9,6,10,11,7,2,2
"CY040345_A_Hong_Kong_HKU75_2005","Fuj02",2005,6,17,0,0,2,3,6,1,5,1,0,15,9,7,13,14,7,1,1
"CY040353_A_Hong_Kong_HKU76_2005","Fuj02",2005,6,21,0,0,3,3,6,1,6,2,2,17,9,8,11,12,7,1,2
"CY040361_A_Hong_Kong_HKU77_2005","Fuj02",2005,6,29,0,1,1,3,5,4,6,1,3,18,11,5,10,10,9,1,1
"CY043767_A_Hong_Kong_HKU72_2005","Fuj02",2005,6,1,0,0,1,3,6,1,6,1,4,15,11,6,10,12,9,3,0
"CY044404_A_Hong_Kong_HKU73_2005","Fuj02",2005,6,2,0,2,1,3,6,2,6,1,4,8,10,6,12,10,6,1,1
"CY091316_A_Hong_Kong_NHRC0001_2005","Fuj02",2005,6,15,0,0,1,3,6,1,5,1,3,18,9,7,15,12,6,2,1
"CY038758_A_Hong_Kong_HKU79_2005","Fuj02",2005,7,16,0,1,1,3,5,1,6,1,4,18,11,8,12,14,7,3,4
"CY043775_A_Hong_Kong_HKU78_2005","Fuj02",2005,7,9,0,1,1,3,6,1,7,1,4,16,14,7,10,12,7,1,1
"KJ855424_A_Mexico_QUE2270_2005","Fuj02",2005,8,11,1,0,2,4,8,1,8,2,2,20,10,6,11,14,6,1,1
"CY100575_A_Mexico_InDRE2246_2005","Fuj02",2005,9,11,0,0,2,3,5,1,6,1,3,21,10,10,11,12,7,1,0
"KJ855472_A_Mexico_TLA2227_2005","Fuj02",2005,9,11,0,0,3,6,8,1,6,1,2,21,10,6,12,13,9,2,1
"CY172198_A_New_York_1001_2005","Cal04",2005,11,10,0,4,1,10,2,6,2,4,1,25,26,25,10,21,9,7,3
"CY091036_A_Illinois_NHRC0002_2005","Cal04",2005,12,23,0,4,1,8,2,7,1,3,1,27,26,26,8,22,10,7,3
"CY091532_A_California_NHRC0006_2005","Cal04",2005,12,2,0,0,0,2,4,0,3,5,2,7,9,6,6,5,8,2,1
"CY113004_A_Netherlands_548_2005","Cal04",2005,12,26,0,2,1,9,2,5,3,4,1,10,23,29,10,22,9,5,1
"CY172390_A_New_York_1028_2006","Cal04",2006,2,20,1,2,1,1,4,1,6,3,0,7,2,5,14,0,13,7,1
"CY019866_A_New_York_938_2006","Cal04",2006,3,2,0,0,2,8,4,5,4,3,1,13,24,28,9,22,9,5,1
"CY020372_A_New_York_938_2006","Cal04",2006,3,2,0,0,2,8,4,5,4,3,1,13,24,28,9,22,9,5,1
"CY114404_A_Netherlands_363_2006","Wis05",2006,12,24,0,4,1,0,6,5,5,6,4,8,32,3,6,30,6,10,4
"CY039406_A_Taiwan_70002_2007","Wis05",2007,1,2,0,0,1,0,2,1,5,0,2,4,4,4,5,4,2,5,2
"CY039414_A_Taiwan_70113_2007","Wis05",2007,1,15,0,2,1,1,2,2,4,0,0,6,8,3,7,3,1,2,1
"CY025428_A_California_UR06_0347_2007","Wis05",2007,2,19,0,3,1,1,2,6,6,0,1,13,9,6,10,25,4,0,3
"CY027570_A_Texas_UR06_0358_2007","Wis05",2007,2,20,0,3,1,0,1,5,8,0,1,13,6,5,9,23,4,1,3
"CY040057_A_Taiwan_70307_2007","Wis05",2007,2,3,0,1,1,1,1,1,5,0,1,5,4,1,6,2,1,5,2
"CY114412_A_Netherlands_69_2007","Wis05",2007,2,19,0,4,1,1,2,5,8,0,2,16,13,9,15,27,8,2,5
"EPI577980_A_Brisbane_10_2007","Wis05",2007,2,6,0,3,0,0,2,5,7,0,1,16,11,3,9,24,5,2,4
"CY040073_A_Taiwan_2361_2007","Wis05",2007,11,12,0,4,1,0,2,7,7,1,2,18,9,8,13,28,4,2,6
"CY114420_A_Netherlands_348_2007","Wis05",2007,11,6,0,3,1,0,0,5,7,0,1,14,10,3,10,23,9,2,5
"CY037310_A_Qatar_AF02_2008","Wis05",2008,1,29,1,4,1,3,3,5,9,1,3,18,16,8,13,26,7,2,5
"CY040105_A_Taiwan_70120_2008","Wis05",2008,1,15,0,5,0,0,1,5,6,0,1,18,11,8,12,23,7,3,4
"CY037326_A_Korea_AF05_2008","Wis05",2008,2,19,0,3,0,0,5,5,8,1,1,16,12,14,18,28,5,4,3
"CY044603_A_Boston_40_2008","Wis05",2008,2,15,0,3,1,1,5,5,8,0,1,15,14,14,16,28,7,3,3
"CY173286_A_New_York_1155_2008","Wis05",2008,3,27,1,5,1,0,3,5,8,1,3,16,12,5,14,27,5,3,3
"CY044827_A_Boston_88_2008","Wis05",2008,4,16,1,4,1,0,3,5,10,1,1,18,13,6,13,25,5,3,4
"CY113020_A_Netherlands_377_2008","Wis05",2008,9,27,1,5,2,1,5,6,9,1,4,18,14,10,15,30,5,4,6
"CY147666_A_Mexico_24013_2008","Bris07",2008,12,1,0,2,1,1,3,1,2,0,0,2,2,3,6,6,1,1,1
"CY093316_A_Kyrgyzstan_WRAIR1256P_2008","Bris07",2008,12,1,0,3,2,1,2,1,1,3,0,10,6,6,7,3,5,3,1
"CY089756_A_Boston_75_2009","Bris07",2009,1,16,0,3,3,1,0,1,4,1,2,12,3,14,6,4,3,1,1
"CY093237_A_South_Korea_WRAIR1171P_2009","Bris07",2009,1,1,0,2,2,1,3,2,3,2,0,10,6,4,9,5,4,2,1
"CY093348_A_Kuwait_WRAIR1561P_2009","Bris07",2009,1,1,0,1,2,3,0,0,2,1,0,5,3,6.5,7,2,4,1,0
"CY113028_A_Netherlands_69_2009","Bris07",2009,1,12,0,3,2,0,1,1,5,1,2,11,3,11,6,3,2,2,0
"CY069426_A_Japan_WRAIR1140P_2009","Bris07",2009,2,9,0,1,3,1,1,0,3,1,1,5,5,12,12,5,5,2,1
"CY089740_A_Boston_40_2009","Bris07",2009,2,27,0,2,4,3,0,0,4,1,0,3,3,13,11,3,0,1,0
"CY050611_A_New_York_3018_2009","Bris07",2009,4,27,1,1,1,2,6,1,1,2,3,6,2,8.5,7,8,6,2,0
"CY050731_A_New_York_3143_2009","Bris07",2009,4,30,0,1,1,1,5,1,2,1,4,5,2,8.5,6,8,6,3,0
"CY064830_A_California_VRDL138_2009","Bris07",2009,4,29,0,5,2,1,2,1,5,3,3,10,4,12,7,4,3,1,0
"CY068104_A_California_VRDL368_2009","Bris07",2009,4,27,0,2,2,0,0,1,2,2,0,12,6,6,10,11,4,2,1
"CY068208_A_California_VRDL170_2009","Bris07",2009,4,28,0,3,3,0,0,1,4,3,1,9,5,12,8,7,4,3,1
"CY068232_A_California_VRDL188_2009","Bris07",2009,4,29,0,1,3,2,0,1,5,1,0,3,4,16,11,2,0,2,0
"CY068296_A_California_VRDL247_2009","Bris07",2009,4,29,0,2,3,1,0,0,4,1,1,5,3,14.5,11,3,1,2,0
"CY068360_A_California_VRDL263_2009","Bris07",2009,4,30,0,1,1,1,6,1,2,1,2,5,3,10,7,4,7,6,0
"CY068416_A_California_VRDL277_2009","Bris07",2009,4,30,0,3,1,1,5,1,1,1,2,6,1,9.5,6,7,8,3,1
"CY068640_A_California_VRDL394_2009","Bris07",2009,4,28,0,1,2,2,0,0,5,1,0,3,7,13,11,3,0,3,1
"CY068781_A_California_VRDL205_2009","Bris07",2009,4,29,0,1,2,1,1,0,5,1,0,5,4,14,12,1,0,2,0
"CY069322_A_Korea_WRAIR1038P_2009","Bris07",2009,4,9,0,1,2,2,6,1,2,1,2,7,3,12,8,6,6,4,1
"EPI577969_A_Perth_16_2009","Bris07",2009,4,7,0,2,1,3,6,1,1,1,3,10,4,9,7,8,5,4,1
"CY050795_A_New_York_3491_2009","Bris07",2009,5,11,0,1,1,2,5,1,1,1,3,5,3,8.5,6,8,6,3,0
"CY050827_A_New_York_3738_2009","Bris07",2009,5,20,0,1,1,1,6,2,1,1,3,5,3,10,7,9,6,5,1
"CY067976_A_California_VRDL339_2009","Bris07",2009,5,4,0,3,1,1,6,1,2,1,2,5,3,9,8,6,5,6,0
